iter	Passed	Remaining
405	7283	10656
406	7301	10638
407	7319	10620
408	7337	10603
409	7356	10585
410	7374	10568
411	7391	10549
412	7409	10531
413	7427	10513
414	7445	10496
415	7464	10478
416	7482	10460
417	7500	10443
418	7518	10425
419	7536	10408
420	7555	10390
421	7573	10372
422	7591	10355
423	7609	10337
424	7627	10319
425	7645	10302
426	7663	10284
427	7681	10265
428	7699	10247
429	7716	10229
430	7734	10211
431	7753	10194
432	7771	10175
433	7789	10158
434	7808	10142
435	7826	10124
436	7844	10106
437	7863	10089
438	7881	10071
439	7899	10054
440	7917	10036
441	7935	10017
442	7953	9999
443	7971	9982
444	7989	9964
445	8007	9946
446	8025	9928
447	8043	9910
448	8061	9893
449	8079	9874
450	8097	9857
451	8115	9839
452	8133	9821
453	8151	9803
454	8169	9785
455	8187	9767
456	8205	9750
457	8224	9732
458	8242	9714
459	8260	9696
460	8278	9679
461	8296	9661
462	8314	9643
463	8333	9626
464	8351	9608
465	8369	9590
466	8387	9573
467	8406	9555
468	8424	9538
469	8442	9520
470	8460	9502
471	8478	9484
472	8496	9466
473	8515	9449
474	8533	9431
475	8551	9413
476	8569	9395
477	8588	9378
478	8607	9362
479	8625	9344
480	8643	9326
481	8661	9307
482	8678	9289
483	8696	9271
484	8713	9252
485	8731	9234
486	8749	9216
487	8766	9197
488	8785	9180
489	8802	9162
490	8820	9144
491	8838	9126
492	8857	9108
493	8875	9090
494	8893	9072
495	8911	9055
496	8929	9037
497	8947	9019
498	8965	9001
499	8984	8984
500	9002	8966
501	9020	8948
502	9038	8930
503	9056	8913
504	9074	8895
505	9093	8877
506	9111	8859
507	9129	8842
508	9147	8823
509	9165	8805
510	9182	8787
511	9200	8768
512	9217	8750
513	9236	8732
514	9254	8715
515	9272	8697
516	9290	8679
517	9308	8661
518	9325	8642
519	9343	8624
520	9361	8607
521	9380	8590
522	9399	8572
523	9417	8554
524	9435	8536
525	9453	8518
526	9471	8500
527	9489	8483
528	9507	8465
529	9525	8447
530	9543	8429
531	9561	8411
532	9578	8392
533	9597	8375
534	9615	8357
535	9633	8339
536	9651	8321
537	9669	8303
538	9687	8285
539	9705	8268
540	9723	8249
541	9742	8232
542	9760	8214
543	9777	8196
544	9795	8178
545	9813	8160
546	9831	8142
547	9849	8123
548	9867	8105
549	9884	8087
550	9902	8069
551	9920	8051
552	9938	8033
553	9956	8015
554	9974	7997
555	9992	7979
556	10009	7961
557	10027	7943
558	10045	7925
559	10063	7907
560	10081	7889
561	10099	7871
562	10117	7853
563	10137	7836
564	10154	7818
565	10173	7800
566	10190	7782
567	10208	7764
568	10226	7746
569	10244	7728
570	10262	7710
571	10280	7692
572	10298	7674
573	10316	7656
574	10333	7638
575	10352	7620
576	10369	7602
577	10387	7583
578	10404	7565
579	10423	7547
580	10441	7529
581	10459	7512
582	10477	7494
583	10495	7476
584	10513	7458
585	10531	7440
586	10549	7422
587	10567	7404
588	10585	7386
589	10603	7368
590	10621	7350
591	10639	7332
592	10657	7314
593	10675	7296
594	10693	7278
595	10711	7260
596	10729	7242
597	10747	7224
598	10765	7206
599	10783	7188
600	10800	7170
601	10818	7152
602	10836	7134
603	10854	7116
604	10872	7098
605	10890	7080
606	10908	7062
607	10927	7045
608	10946	7027
609	10964	7009
610	10982	6992
611	11000	6974
612	11018	6955
613	11035	6937
614	11053	6919
615	11070	6901
616	11088	6883
617	11105	6864
618	11123	6846
619	11141	6828
620	11159	6810
621	11177	6792
622	11196	6775
623	11214	6757
624	11233	6739
625	11250	6721
626	11278	6709
627	11295	6691
628	11313	6672
629	11330	6654
630	11348	6636
631	11367	6619
632	11387	6602
633	11405	6584
634	11422	6565
635	11440	6547
636	11458	6529
637	11476	6512
638	11495	6494
639	11514	6476
640	11535	6460
641	11555	6443
642	11573	6425
643	11591	6407
644	11610	6390
645	11628	6372
646	11647	6354
647	11665	6336
648	11685	6319
649	11702	6301
650	11720	6283
651	11738	6265
652	11756	6247
653	11774	6229
654	11792	6211
655	11810	6193
656	11828	6175
657	11846	6157
658	11864	6139
659	11882	6121
660	11899	6103
661	11919	6085
662	11943	6070
663	11965	6054
664	11988	6039
665	12009	6023
666	12032	6007
667	12054	5990
668	12074	5974
669	12095	5957
670	12113	5939
671	12131	5921
672	12149	5903
673	12168	5885
674	12186	5867
675	12204	5849
676	12221	5831
677	12239	5812
678	12257	5794
679	12275	5776
680	12292	5758
681	12310	5740
682	12328	5721
683	12346	5703
684	12366	5686
685	12389	5670
686	12411	5654
687	12432	5638
688	12456	5622
689	12477	5605
690	12500	5589
691	12519	5572
692	12539	5555
693	12557	5536
694	12574	5518
695	12592	5500
696	12610	5482
697	12628	5463
698	12646	5445
699	12664	5427
700	12682	5409
701	12699	5391
702	12717	5372
703	12734	5354
704	12753	5336
705	12771	5318
706	12788	5300
707	12806	5281
708	12824	5263
709	12842	5245
710	12860	5227
711	12878	5209
712	12900	5192
713	12922	5176
714	12944	5159
715	12964	5142
716	12982	5124
717	13000	5106
718	13018	5088
719	13036	5069
720	13055	5051
721	13073	5033
722	13091	5015
723	13108	4997
724	13126	4979
725	13144	4960
726	13162	4942
727	13180	4924
728	13198	4906
729	13216	4888
730	13234	4870
731	13254	4852
732	13272	4834
733	13290	4816
734	13308	4798
735	13326	4780
736	13345	4762
737	13363	4744
738	13381	4725
739	13399	4707
740	13417	4689
741	13435	4671
742	13453	4653
743	13471	4635
744	13489	4617
745	13507	4599
746	13525	4580
747	13543	4562
748	13561	4544
749	13578	4526
750	13596	4508
751	13614	4489
752	13632	4471
